Moonshine | Longing | 2021-12-08
The Doors | Alabama Song (Whisky Bar) | 1967-01-04
Lacuna Coil | I Like It | 2009-07-13
Jane Bordeaux; Hemi Rudner | גאולה - Live | 2020-12-31
Genesis | Horizons - Digital Remastered 2008 | 1972-10-06
Blackmore's Night | I Surrender - Bonus Track | 2017-08-11
The Beatles | Things We Said Today - Remastered 2009 | 1964-07-10
The Beatles | I'm Happy Just To Dance With You - Remastered 2009 | 1964-07-10
The Beatles | Please Mister Postman - Remastered 2009 | 1963-11-22
The Beatles | It Won't Be Long - Remastered 2009 | 1963-11-22
The Beatles | All I've Got To Do - Remastered 2009 | 1963-11-22
The Beatles | Do You Want To Know A Secret - Remastered 2009 | 1963-03-22
The Beatles | Please Please Me - Remastered 2009 | 1963-03-22
The Beatles | Misery - Remastered 2009 | 1963-03-22
Green Carnation | Six Ribbons - Remastered | 2021-12-03
Green Carnation | 9-29-045 - Remastered | 2021-12-03
Green Carnation | Alone - Remastered | 2021-12-03
Green Carnation | Child`s Play, Pt. 3 - Remastered | 2021-12-03
Green Carnation | Maybe - Remastered | 2021-12-03
Green Carnation | Sweet Leaf - Remastered | 2021-12-03
Green Carnation | The Burden is Mine… Alone - Remastered | 2021-12-03
Blackmore's Night | Long Long Time | 2015-09-18
Renaissance | Ocean Gypsy | 2012-04-16
Athyia | Apparat 'Goodbye' Dark (Netflix) Theme Song Cover | 2021-01-02
Blackmore's Night | Storm | 2001-07-10
Blackmore's Night | Now and Then | 1999-05-25
Darren Korb; Ashley Barrett | A Hero Named Epoli | 2021-04-17
Emmylou Harris | Here, There and Everywhere | 1975
Emmylou Harris | For No One - 2003 Remaster | 1975
Kobor Gales | Don't Let Me Down - Acoustic Guitar Version | 2013-08-30
Kobor Gales | The Long and Winding Road - Acoustic Guitar Version | 2013-08-30
Guus Dielissen | The Journey | 2020-04-28
The Beatles | A Taste Of Honey - Remastered 2009 | 1963-03-22
Blackmore's Night | Shadow Of The Moon | 1997-06-02
Blackmore's Night | Diamonds and Rust | 2003-06-30
Sarah Jarosz | Hometown | 2020-06-05
Andrea Motis; Joan Chamorro; Orquestra Simfònica Del Vallès | La Javanesa (Live) | 2015-12-18
The Other Favorites | Have Mercy | 2021-11-19
Blackmore's Night | Greensleeves | 1997-06-02
Blackmore's Night | Ocean Gypsy | 1997-06-02
Ashley Johnson; Troy Baker | Wayfaring Stranger | 2021-09-27
Ashley Johnson; Chris Rondinella | Take on Me | 2021-09-27
Ashley Johnson; Chris Rondinella | Through the Valley | 2021-09-27
Imagine Dragons; JID; Arcane; League of Legends | Enemy (with JID) - from the series Arcane League of Legends | 2021-10-28
RJD2 | Ghostwriter | 2002
Lucy Rose | Shiver | 2012-09-24
The Other Favorites | Cherry Wine | 2021-11-19
Tzvi Erez | Solfeggietto in C Minor | 2012-03-01
Gram Parsons | Love Hurts - 2007 Remaster | 1974
Hooverphonic | Mad About You | 2000
Omri Keren | Love in Mind | 2021-04-11
Porcupine Tree | Harridan | 2021-11-01
Steve Vai | Tender Surrender | 1995-03-21
Pure Reason Revolution | Arrival / The Intention Craft | 2006
Soen | Lotus | 2019-01-18
Johann Sebastian Bach; Avi Avital | Cello Suite No. 1 In G Major, BWV 1007: 1. Prélude (Arr. for Mandolin by Avi Avital) | 2019-02-15
Antonio Vivaldi; Avi Avital; Venice Baroque Orchestra | Mandolin Concerto in C Major, RV 425: I. Allegro | 2015-02-24
Pyotr Ilyich Tchaikovsky; André Previn; London Symphony Orchestra | Tchaikovsky: The Sleeping Beauty, Op. 66, Act I "The Spell": No. 6, Waltz | 1974-01-01
Johann Strauss II; Boston Pops Orchestra; Arthur Fiedler | Voices of Spring, Op. 410 (Frühlingsstimmen) | 2015-04-15
Johann Strauss II; Wiener Philharmoniker; Willi Boskovsky | Tritsch-Tratsch-Polka, Op.214 | 1998-01-01
Wolfgang Amadeus Mozart; Karita Mattila; Berliner Philharmoniker; Claudio Abbado; Swedish Radio Choir; Kay Johannsen | Requiem in D Minor, K. 626: 8. Communio: Lux aeterna - Live | 1999-01-01
Wolfgang Amadeus Mozart; Karita Mattila; Sara Mingardo; Michael Schade; Bryn Terfel; Berliner Philharmoniker; Claudio Abbado; Swedish Radio Choir; Kay Johannsen | Requiem in D Minor, K. 626: 7. Agnus Dei - Live | 1999-01-01
Wolfgang Amadeus Mozart; Karita Mattila; Sara Mingardo; Michael Schade; Bryn Terfel; Berliner Philharmoniker; Claudio Abbado; Swedish Radio Choir; Kay Johannsen | Requiem in D Minor, K. 626: 6. Benedictus - Live | 1999-01-01
Wolfgang Amadeus Mozart; Berliner Philharmoniker; Claudio Abbado; Swedish Radio Choir; Kay Johannsen | Requiem in D Minor, K. 626: 5. Sanctus - Live | 1999-01-01
Wolfgang Amadeus Mozart; Berliner Philharmoniker; Claudio Abbado; Swedish Radio Choir; Kay Johannsen | Requiem in D Minor, K. 626: 4. Offertorium: Hostias - Live | 1999-01-01
Wolfgang Amadeus Mozart; Karita Mattila; Sara Mingardo; Michael Schade; Bryn Terfel; Berliner Philharmoniker; Claudio Abbado; Swedish Radio Choir; Kay Johannsen | Requiem in D Minor, K. 626: 4. Offertorium: Domine Jesu - Live | 1999-01-01
Wolfgang Amadeus Mozart; Berliner Philharmoniker; Claudio Abbado; Swedish Radio Choir; Kay Johannsen | Requiem in D Minor, K. 626: 3. Sequentia: Lacrimosa - Live | 1999-01-01
Wolfgang Amadeus Mozart; Claudio Abbado; Berliner Philharmoniker; Swedish Radio Choir; Kay Johannsen | Requiem in D Minor, K. 626: 3. Sequentia: Confutatis - Live | 1999-01-01
Wolfgang Amadeus Mozart; Karita Mattila; Sara Mingardo; Michael Schade; Bryn Terfel; Berliner Philharmoniker; Claudio Abbado | Requiem in D Minor, K. 626: 3. Sequentia: Recordare - Live | 1999-01-01
Wolfgang Amadeus Mozart; Berliner Philharmoniker; Claudio Abbado; Swedish Radio Choir; Kay Johannsen | Requiem in D Minor, K. 626: 3. Sequentia: Rex tremendae - Live | 1999-01-01
